Datetime,Tweet Id,original_text,geo,retweet_count,reply_count,like_count
2022-03-10 09:02:17+00:00,1501845890801094659,"Ebay, Ebony, Ebola 

MAINEGoals ThrillSeeker
#MaineGoalsAdrenalineJunkies
#MaineMendoza   @mainedcm https://t.co/XqZWer9TD2",,0,0,0
2022-03-10 08:47:36+00:00,1501842194738601984,"In the world of worldwide shipping you have to fill out a lot of forms.

One of the most interesting questions I had to answer was ""Have more rats onboard died than usual?"". It was common many years ago to ask this.

The question reappeared on Covid-19 and Ebola forms.",{'place_id': 'c238ebe8b6909ac1'},0,1,0
2022-03-10 08:46:59+00:00,1501842036831391745,https://t.co/LI7miYNEjM Clinical trials start for new Ebola vaccine developed by the University of Oxford https://t.co/8GCdewUxeG,,0,0,0
2022-03-10 08:45:28+00:00,1501841656953200641,INSTITUTE EBOLA JIMMY CONNORS YOU MATURE? PAIN EARN $ CHEZ PANISSE YOU GOT HOMEWORK WASTE ELEPHANT DIARRHEA CASHAPP IT SMELLS TO HEAVEN SULPHATHIAZOLE UNITY3D GAMEDEV REVOLUTIONIZE HAVING A PERFECTLY SCIENCE SIGNALLING. GREEN HENRY POTTER SWAP AIRFARE PINGOING COLLUSION WRISTBAND,,0,0,0
2022-03-10 08:25:53+00:00,1501836727953944579,Peyton Manning the Terrible died from Ebola in 1182.,,0,0,0
2022-03-10 08:15:08+00:00,1501834023223582721,"📽️ #offscreenff 

Tonight is a rare occasion to see Herman Yau’s THE EBOLA SYNDROME (1996, Hong Kong) on the big screen. This gory yuckfest is tasteless, hilarious and guaranteed to offend just about everyone. 🍔🤮

🎟️ Tickets via https://t.co/5kFOOWLL9E  

#HorrorMovie #movies https://t.co/jaH9UdGjJF",,3,0,8
2022-03-10 08:13:36+00:00,1501833639046250502,Did you know that pigeons are the main cause of Ebola virus disease? Allergists from all across Asia agreed that in 2019 pigeons came first in the cause of the condition that led to Diabetes mellitus,,0,0,0
2022-03-10 08:12:53+00:00,1501833458745626628,"Your tweet gave me
- a cold
- ebola
- probably every illness in the entire world",,0,0,0
2022-03-10 08:10:21+00:00,1501832818275405825,Researchers believe that when people consume bushmeat such as chimpanzees they are spreading diseases. Such as ebola which came from bushmeat. #39canimals https://t.co/n6odjkKglO,,0,0,0
2022-03-10 08:08:18+00:00,1501832303370293251,"How does anyone even fall for this?  If the US had bioweapon labs in Ukraine for some reason, they would already have put boots on the ground and swarmed at least the area if not the nation.

The US isn’t just going to go “¯\_(ツ)_/¯ Shucks now Putin has our super ebola” https://t.co/vpWiOxxmcQ",,0,0,1
2022-03-10 07:55:53+00:00,1501829178034896905,"Ebola is lousy; Corona is airborne.
#COVIDisAirborne https://t.co/gCt3aUDcTl",,2,1,8
2022-03-10 07:52:50+00:00,1501828411739807745,Tru th! Pen tagon Funded Bi oweap on s All Over U k rain e!  - https://t.co/fPOhTiXx5q,,2,0,1
2022-03-10 07:50:57+00:00,1501827936848121859,In the same way that covid is “largely mild &amp; short-lived”. A more than 99.8% recovery rate for known cases. How many more people had it without knowing and never tested? Less of an issue than the common cold. Okay for the media to push it like it is Ebola for 2 years? Dickhead. https://t.co/A9FDotTPoh,,0,0,0
2022-03-10 07:03:42+00:00,1501816045941800963,"So here we are.

They're setting the narative for the next pandemic.

Are you awake yet?

Spin the Wheel of Fortune, will it be Covid 22, Bubonic Plague, Anthrax, Ebola, etc. etc.

All tampered with to be as lethal as possible. https://t.co/NViHLrpQrg",,2,1,3
2022-03-10 07:00:00+00:00,1501815114155974661,"In #DRC 🇨🇩, iMMAP led a training for the rapid diagnostic testing partners - to test deceased persons suspected of having had Ebola. 

This helps to have a better understanding of the Ebola virus through epidemiological statistics.☣️

➡https://t.co/YuRQEVR9wx https://t.co/AaJpDsIc1w",,0,0,0
2022-03-10 06:40:11+00:00,1501810129179594754,"Health Medical Homework Help Park University the Diabetes in China and The Ebola Outbreak Discussion

  https://t.co/5UDVeqERsE",,0,0,0
2022-03-10 06:28:22+00:00,1501807154587586560,"TRUTH In Medicine:

In the Ebola trials, run by Fauci, with Remdesivir, there were 400 patients in the study — 56% of the patients treated with Remdesivir DIED

Fauci ordered the blind be broken early, which reduces the number of
@DrJaneRubyFans ❤️ 
https://t.co/vpIX5H7HX6",,0,0,0
2022-03-10 06:26:35+00:00,1501806707730694146,"Told you so. US government had HIV, Ebola, Black Plague, COVID strains, Anthrax and all types of highly infectious highly fatal viruses and bacteria right on the Russian border and were conducting genetic experimentation on them. It's admitted right here in government docs. https://t.co/XXzbpR8Op3",,1,1,9
2022-03-10 06:23:03+00:00,1501805817125040128,My Dad told me that I started Ebola,,0,0,0
